2023-06-05,run,5,9:00,PreTraining Run,This is a run 2 weeks prior to my actual training begins. But it will set a baseline. There is also a good chance I will have to skip most of these runs as I am on vacation.
2023-06-07,run,6,9:15,PreTraining Run,Baseline running.
2023-06-08,run,3,9:15,PreTraining Run,Baseline running.
2023-06-09,run,5,9:15,PreTraining Run,Baseline running.
2023-07-10,run,8,9:30,PreTraining Run,Baseline running.
2023-06-12,run,5,9:00,PreTraining Run,Baseline running.
2023-06-14,run,6,9:15,PreTraining Run,Baseline running.
2023-06-15,run,3,8:45,PreTraining Run,Baseline running.
2023-06-16,run,5,8:30,PreTraining Run,Baseline running.
2023-06-17,run,8,9:30,PreTraining Run,Baseline running.
2023-06-19,run,4,9:30,Week 1,Easy 4M run to start.
2023-06-20,run,4,8:15,Week 1,Steady with a few strides.
2023-06-21,run,4,9:50,Week 1,Easy run
2023-06-22,run,5,8:45,Week 1,run to a hill then 8 x 30 secs uphill then jog down
2023-06-24,run,9,9:45,Week 1,Slow run
2023-06-25,run,5,8:15,Week 1,Steady cross country or parkrun
2023-06-26,run,4,9:45,Week 2,Easy run
2023-06-27,run,5,8:45,Week 2,Warm up then 3M at a brisk pace timed. Warm down.
2023-06-28,run,5,8:15,Week 2,Steady
2023-06-29,run,5,7:45,Week 2,Warm up then 8 x 90 secs fast / 90 secs slow
2023-07-01,run,5,8:00,Week 2,Steady cross country or parkrun
2023-07-02,run,11,9:30,Week 2,Slow
2023-07-03,run,4,9:45,Week 3,Easy
2023-07-04,run,5,8:45,Week 3,Run to a hill then 8 x 30 secs uphill jogging back down
2023-07-05,run,6,9:30,Week 3,Easy
2023-07-06,run,5,8:30,Week 3,Warm up then 5 x 3mins fast 2 mins slow (or 5 x 800m on track with 400m jog recoveries)
2023-07-08,run,5,8:00,Week 3,Steady cross country or parkrun
2023-07-09,run,13,9:30,Week 3,Slow
2023-07-10,run,4,9:45,Week 4,Easy
2023-07-11,run,6,8:45,Week 4,Warm up then 3M at brisk pace timed then warm down.
2023-07-12,run,7,8:00,Week 4,Steady
2023-07-13,run,6,8:30,Week 4,Warm up then 9 x 90 secs fast (or 400m) with 90 secs (or 200m) slow.
2023-07-14,ride,5,4:00,Week 4,10-20m Peloton
2023-07-15,run,5,9:30,Week 4,Easy
2023-07-16,run,15,7:40,Week 4,15M slow with 5M in middle at marathon pace or Shoreline Half marathon
2023-07-17,run,4,9:30,Week 5,Easy
2023-07-18,run,6,9:00,Week 5,Run to a hill then 10 x 30 secs uphill jogging back down
2023-07-19,run,8,9:30,Week 5,Easy
